大項目,中項目,お悩み,提示順位,サービス_送客先,種別,ランク,粗利率,リカーリング,L0無料価値,CV種別,備考
①お悩み解決,集患増患/自費患者,TC制度の導入,1,送客:日本歯科TC協会/TCマスターカレッジ,送客,C,≒100%,単発,自費成約無料レポート,送客フォーム,→サロン(S)
①お悩み解決,集患増患/自費患者,プロに相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,集患増患/キャンセル率,リマインダー導入,1,送客:Ciイージーアポ/iQalte/アポツール/ジニー/デンティス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,集患増患/キャンセル率,チェアサイド予約導入,1,送客:Ciイージーアポ/iQalte/アポツール/ジニー/デンティス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,集患増患/キャンセル率,その他,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,採用・求人,求人サイト運用代行,1,採用支援(KOU/千葉),自社,B,15%,単発,採用無料診断,運用代行申込,KOU紹介料30%
①お悩み解決,採用・求人,リファラル採用,1,リファラル採用動画(自社),自社,B,-,単発,採用無料診断,制作申込,
①お悩み解決,採用・求人,ハローワーク,1,情報提供,無料,L0,-,-,採用ノウハウ無料DL,サロン体験,→サロン(S)
①お悩み解決,採用・求人,求人用HP制作,1,HP制作,自社,B,25%,単発,無料診断,制作見積,
①お悩み解決,採用・求人,求人用HP制作,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込
①お悩み解決,採用・求人,求人用広告出稿,1,広告運用代行,自社,A,~15%,月額,採用無料診断,広告運用申込,
①お悩み解決,採用・求人,求人用ポスティング,1,送客化,送客,D→C,≒100%,単発,-,送客フォーム,
①お悩み解決,採用・求人,求人用LINE制作,1,広告運用代行(自社),自社,A,~15%,月額,LINE活用無料相談,制作申込,
①お悩み解決,採用・求人,就職説明会,1,送客:クオキャリア/グッピー/新東京歯科衛生士学校,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,採用・求人,プロに相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,効率化・DX,患者データ一元管理,1,送客:デンタルテン/アポツール/デンティス/ジニー,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,効率化・DX,クラウド型アポ帳,1,送客:Ciイージーアポ/iQalte/アポツール/ジニー/デンティス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,効率化・DX,オンライン診療,1,送客:zoom/クリニクス,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,
①お悩み解決,効率化・DX,安価な電子カルテ,1,送客:iQalte,送客,C,≒100%,一部月額,DX無料診断,送客フォーム,入札枠
①お悩み解決,効率化・DX,口腔内スキャナ(iTero等),1,送客:インビザライン社等,送客,C,≒100%,単発,補助金無料適合チェック,送客フォーム,
①お悩み解決,効率化・DX,口腔内スキャナ(iTero等),2,AXiY補助金フック,自社,A,高,月額,補助金無料適合チェック,AXiY個別相談,
①お悩み解決,効率化・DX,CAD/CAM(セレック等),1,送客:デンツプライシロナ等,送客,C,≒100%,単発,補助金無料適合チェック,送客フォーム,
①お悩み解決,効率化・DX,CAD/CAM(セレック等),2,AXiY補助金フック,自社,A,高,月額,補助金無料適合チェック,AXiY個別相談,
①お悩み解決,効率化・DX,自動精算機,1,送客:吉岡さき,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,効率化・DX,DX化サポート,1,送客:長瀧谷さん,送客,C,≒100%,単発,DX無料診断,送客フォーム,→サロン(S)
①お悩み解決,効率化・DX,プロに相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,お金・経営,キャッシュレス決済,1,送客:Pay Light/stera terminal/Ci Pay Light,送客,C,≒100%,一部月額,-,送客フォーム,成果報酬
①お悩み解決,お金・経営,デンタルローン,1,送客:アプラス/するが銀行,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,お金・経営,自動精算機,1,送客:吉岡さき,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,お金・経営,補助金・助成金を活用したい,1,AXiY+補助金フック,自社,A,高,月額,補助金無料適合チェック,AXiY個別相談,最重要ウェッジ
①お悩み解決,お金・経営,補助金・助成金を活用したい,2,送客:昌子久美子/各補助金,送客,C,≒100%,単発,補助金無料適合チェック,送客フォーム,
①お悩み解決,お金・経営,補助金・助成金を活用したい,3,オンラインサロン(SDC),自社,S,95%,月額,-,サロン体験,S差込
①お悩み解決,お金・経営,両立支援等助成金,1,SDC無料レポート,無料,L0,-,-,助成金無料レポート,サロン体験,→サロン(S)
①お悩み解決,お金・経営,経営相談,1,有料個別相談(田尾),自社,A,高,単発,無料1次相談,有料相談予約,
①お悩み解決,お金・経営,経営相談,2,送客:船井総研,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,お金・経営,歯科に強い税理士,1,送客:キャスダック,送客,C,≒100%,一部月額,-,送客フォーム,
①お悩み解決,お金・経営,法律相談,1,送客:小畑法律事務所/フラクタル法律事務所,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,開業・事業継承,開業:総合支援,1,送客:ヨシダ/モリタ/GC/三井ホーム/INSITE,送客,C,≒100%,単発,開業ロードマップ無料DL,送客フォーム,高額成果報酬
①お悩み解決,開業・事業継承,開業:内覧会,1,送客:エヌデュース/メディカルアドバンス,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,開業・事業継承,開業:HP制作,1,HP制作,自社,B,25%,単発,無料診断,制作見積,
①お悩み解決,開業・事業継承,開業:HP制作,2,HP管理,自社,S,70%,月額,-,管理プラン申込,S差込
①お悩み解決,開業・事業継承,開業:開業後の集患,1,広告運用代行,自社,A,~15%,月額,集患無料レポート,広告運用申込,
①お悩み解決,開業・事業継承,継承:事業継承サポート,1,送客:渡部先生(シャラク)/諸井先生,送客,C,≒100%,単発,継承無料相談,送客フォーム,高額成果報酬
①お悩み解決,開業・事業継承,継承:継承・引継ぎ補助金,1,AXiY補助金フック,自社,A,高,月額,補助金無料適合チェック,AXiY個別相談,
①お悩み解決,開業・事業継承,継承:継承・引継ぎ補助金,2,送客:昌子久美子,送客,C,≒100%,単発,-,送客フォーム,
①お悩み解決,開業・事業継承,継承:助成金サポート,1,送客:関谷さん/新井さん,送客,C,≒100%,単発,-,送客フォーム,
②必見・厳選,インプラント,新規患者を増やす,1,広告運用代行(集患①へ接続),自社,A,~15%,月額,集患無料レポート,広告運用申込,
②必見・厳選,インプラント,成約率を上げる,1,SDC無料レポート,無料,L0,-,-,成約率無料レポート,サロン体験,→サロン(S)
②必見・厳選,インプラント,インプラント10年保証,1,送客:ガイドデント,送客,C,≒100%,単発,-,送客フォーム,
②必見・厳選,インビザライン,新規患者を増やす,1,広告運用代行(集患①へ接続),自社,A,~15%,月額,集患無料レポート,広告運用申込,
②必見・厳選,インビザライン,成約率を上げる,1,SDC無料レポート,無料,L0,-,-,成約率無料レポート,サロン体験,→サロン(S)
②必見・厳選,インビザライン,補助金でiTero導入,1,AXiY補助金フック,自社,A,高,月額,補助金無料適合チェック,AXiY個別相談,
②必見・厳選,インビザライン,補助金でiTero導入,2,送客:昌子久美子,送客,C,≒100%,単発,-,送客フォーム,
②必見・厳選,インビザライン,クリンチェック作成サポート,1,送客:MAセミナー/マウスピースの達人,送客,C,≒100%,単発,-,送客フォーム,
②必見・厳選,インビザライン,出張スタッフ研修,1,送客:穴沢さん,送客,C,≒100%,単発,-,送客フォーム,
②必見・厳選,予防歯科,デンタルフィットネス/CHP研究会,1,送客:しん治歯科医院,送客,C,≒100%,単発,予防歯科無料DL,送客フォーム,→サロン(S)
②必見・厳選,医科歯科連携,医科歯科連携,1,送客:かすもりおしむら歯科オンラインサロン,送客,C,≒100%,月額,-,送客フォーム,
②必見・厳選,スタッフ教育,スタッフ教育,1,自社:YouTube&Dropbox/Soeasy,自社,S,-,-,教育コンテンツ無料DL,サロン体験,→サロン(S)
②必見・厳選,お役立ちツール,チェア利益計算ツール,1,チェア利益計算ツール,無料,L0,-,-,計算ツール無料利用,サロン体験,→サロン(S)/AXiY
③学ぶ・成長,コンテンツ,ポチッとニュース,1,ポチッとニュース,無料,L0,-,-,旬なニュース,サロン体験,→サロン(S)
③学ぶ・成長,コンテンツ,セミナー・ウェビナー,1,セミナー情報(100以上),無料,L0,-,-,セミナー情報,サロン体験,一部送客(C)
③学ぶ・成長,コンテンツ,書籍ランキング,1,シエン社ランキング,無料,L0,-,-,書籍ランキング,-,
③学ぶ・成長,コンテンツ,ウェビナー,1,ウェビナー,無料,L0,-,-,ウェビナー,サロン体験,→サロン(S)
③学ぶ・成長,コンテンツ,歯科専門誌,1,クインテッセンス/歯界展望/アポロニア,無料,L0,-,-,専門誌情報,-,
③学ぶ・成長,コンテンツ,オンラインサロン,1,SDC経営研究所(自社),自社,S,95%,月額,-,サロン申込,S本丸
③学ぶ・成長,コンテンツ,オンラインサロン,2,送客:かすもりおしむら,送客,C,≒100%,月額,-,送客フォーム,
